Year,Region,Region Code,Livestock type,Value,Value Unit,Value Label,Null Reason
1994,Auckland,Auckland Region,Sheep,656759.0497,number,Kilograms of nitrogen leached,
1995,Auckland,Auckland Region,Sheep,663501.3006,number,Kilograms of nitrogen leached,
1996,Auckland,Auckland Region,Sheep,527258.7879,number,Kilograms of nitrogen leached,
1997,Auckland,Auckland Region,Sheep,0,number,Kilograms of nitrogen leached,
1998,Auckland,Auckland Region,Sheep,0,number,Kilograms of nitrogen leached,
1999,Auckland,Auckland Region,Sheep,631236.3208,number,Kilograms of nitrogen leached,
2000,Auckland,Auckland Region,Sheep,0,number,Kilograms of nitrogen leached,
2001,Auckland,Auckland Region,Sheep,0,number,Kilograms of nitrogen leached,
2002,Auckland,Auckland Region,Sheep,485453.9317,number,Kilograms of nitrogen leached,
2003,Auckland,Auckland Region,Sheep,476393.9497,number,Kilograms of nitrogen leached,
2004,Auckland,Auckland Region,Sheep,428724.8909,number,Kilograms of nitrogen leached,
2005,Auckland,Auckland Region,Sheep,419513.2939,number,Kilograms of nitrogen leached,
2006,Auckland,Auckland Region,Sheep,387290.5026,number,Kilograms of nitrogen leached,
2007,Auckland,Auckland Region,Sheep,379154.7125,number,Kilograms of nitrogen leached,
2008,Auckland,Auckland Region,Sheep,349345.8949,number,Kilograms of nitrogen leached,
2009,Auckland,Auckland Region,Sheep,339153.4151,number,Kilograms of nitrogen leached,
2010,Auckland,Auckland Region,Sheep,310367.6688,number,Kilograms of nitrogen leached,
2011,Auckland,Auckland Region,Sheep,289982.7091,number,Kilograms of nitrogen leached,
2012,Auckland,Auckland Region,Sheep,270626.0943,number,Kilograms of nitrogen leached,
2013,Auckland,Auckland Region,Sheep,280075.0017,number,Kilograms of nitrogen leached,
2014,Auckland,Auckland Region,Sheep,284682.7778,number,Kilograms of nitrogen leached,
2015,Auckland,Auckland Region,Sheep,317508.0737,number,Kilograms of nitrogen leached,
2016,Auckland,Auckland Region,Sheep,266578.6343,number,Kilograms of nitrogen leached,
2017,Auckland,Auckland Region,Sheep,333650.4516,number,Kilograms of nitrogen leached,
1990,Bay of Plenty,Bay of Plenty Region,Beef cattle,2327502.813,number,Kilograms of nitrogen leached,
1991,Bay of Plenty,Bay of Plenty Region,Beef cattle,2346738.374,number,Kilograms of nitrogen leached,
1992,Bay of Plenty,Bay of Plenty Region,Beef cattle,2374289.86,number,Kilograms of nitrogen leached,
1993,Bay of Plenty,Bay of Plenty Region,Beef cattle,2060715.686,number,Kilograms of nitrogen leached,
1994,Bay of Plenty,Bay of Plenty Region,Beef cattle,2189320.286,number,Kilograms of nitrogen leached,
1995,Bay of Plenty,Bay of Plenty Region,Beef cattle,2219900.576,number,Kilograms of nitrogen leached,
1996,Bay of Plenty,Bay of Plenty Region,Beef cattle,2003965.469,number,Kilograms of nitrogen leached,
1997,Bay of Plenty,Bay of Plenty Region,Beef cattle,0,number,Kilograms of nitrogen leached,
1998,Bay of Plenty,Bay of Plenty Region,Beef cattle,0,number,Kilograms of nitrogen leached,
1999,Bay of Plenty,Bay of Plenty Region,Beef cattle,1581938.867,number,Kilograms of nitrogen leached,
2000,Bay of Plenty,Bay of Plenty Region,Beef cattle,0,number,Kilograms of nitrogen leached,
2001,Bay of Plenty,Bay of Plenty Region,Beef cattle,0,number,Kilograms of nitrogen leached,
2002,Bay of Plenty,Bay of Plenty Region,Beef cattle,1790913.039,number,Kilograms of nitrogen leached,
2003,Bay of Plenty,Bay of Plenty Region,Beef cattle,1664580.042,number,Kilograms of nitrogen leached,
2004,Bay of Plenty,Bay of Plenty Region,Beef cattle,1550654.513,number,Kilograms of nitrogen leached,
