Year,Region,Region Code,Livestock type,Value,Value Unit,Value Label,Null Reason
2001,Otago,Otago Region,Sheep,0,number,Kilograms of nitrogen leached,
2002,Otago,Otago Region,Sheep,5578630.024,number,Kilograms of nitrogen leached,
2003,Otago,Otago Region,Sheep,5418522.746,number,Kilograms of nitrogen leached,
2004,Otago,Otago Region,Sheep,5378914.945,number,Kilograms of nitrogen leached,
2005,Otago,Otago Region,Sheep,5637069.257,number,Kilograms of nitrogen leached,
2006,Otago,Otago Region,Sheep,5467003.067,number,Kilograms of nitrogen leached,
2007,Otago,Otago Region,Sheep,5496829.679,number,Kilograms of nitrogen leached,
2008,Otago,Otago Region,Sheep,4869978.669,number,Kilograms of nitrogen leached,
2009,Otago,Otago Region,Sheep,4813790.604,number,Kilograms of nitrogen leached,
2010,Otago,Otago Region,Sheep,4852188.06,number,Kilograms of nitrogen leached,
2011,Otago,Otago Region,Sheep,4742250.847,number,Kilograms of nitrogen leached,
2012,Otago,Otago Region,Sheep,4869491.979,number,Kilograms of nitrogen leached,
2013,Otago,Otago Region,Sheep,4853520.533,number,Kilograms of nitrogen leached,
2014,Otago,Otago Region,Sheep,4791904.145,number,Kilograms of nitrogen leached,
2015,Otago,Otago Region,Sheep,4666562.378,number,Kilograms of nitrogen leached,
2016,Otago,Otago Region,Sheep,4391912.563,number,Kilograms of nitrogen leached,
2017,Otago,Otago Region,Sheep,4180411.206,number,Kilograms of nitrogen leached,
1990,Southland,Southland Region,Beef cattle,1202631.567,number,Kilograms of nitrogen leached,
1991,Southland,Southland Region,Beef cattle,1167197.284,number,Kilograms of nitrogen leached,
1992,Southland,Southland Region,Beef cattle,1107972.516,number,Kilograms of nitrogen leached,
1993,Southland,Southland Region,Beef cattle,1125289.926,number,Kilograms of nitrogen leached,
1994,Southland,Southland Region,Beef cattle,1305820.376,number,Kilograms of nitrogen leached,
1995,Southland,Southland Region,Beef cattle,1381820.981,number,Kilograms of nitrogen leached,
1996,Southland,Southland Region,Beef cattle,1315936.168,number,Kilograms of nitrogen leached,
1997,Southland,Southland Region,Beef cattle,0,number,Kilograms of nitrogen leached,
1998,Southland,Southland Region,Beef cattle,0,number,Kilograms of nitrogen leached,
1999,Southland,Southland Region,Beef cattle,1481779.701,number,Kilograms of nitrogen leached,
2000,Southland,Southland Region,Beef cattle,0,number,Kilograms of nitrogen leached,
2001,Southland,Southland Region,Beef cattle,0,number,Kilograms of nitrogen leached,
2002,Southland,Southland Region,Beef cattle,1313118.704,number,Kilograms of nitrogen leached,
2003,Southland,Southland Region,Beef cattle,1418673.667,number,Kilograms of nitrogen leached,
2004,Southland,Southland Region,Beef cattle,1395985.668,number,Kilograms of nitrogen leached,
2005,Southland,Southland Region,Beef cattle,1304453.552,number,Kilograms of nitrogen leached,
2006,Southland,Southland Region,Beef cattle,1319320.993,number,Kilograms of nitrogen leached,
2007,Southland,Southland Region,Beef cattle,1338379.17,number,Kilograms of nitrogen leached,
2008,Southland,Southland Region,Beef cattle,1228607.681,number,Kilograms of nitrogen leached,
2009,Southland,Southland Region,Beef cattle,1385695.8,number,Kilograms of nitrogen leached,
2010,Southland,Southland Region,Beef cattle,1200207.387,number,Kilograms of nitrogen leached,
2011,Southland,Southland Region,Beef cattle,1120525.382,number,Kilograms of nitrogen leached,
2012,Southland,Southland Region,Beef cattle,1109900.255,number,Kilograms of nitrogen leached,
2013,Southland,Southland Region,Beef cattle,1083343.884,number,Kilograms of nitrogen leached,
2014,Southland,Southland Region,Beef cattle,1121550.5,number,Kilograms of nitrogen leached,
2015,Southland,Southland Region,Beef cattle,1061984.026,number,Kilograms of nitrogen leached,
2016,Southland,Southland Region,Beef cattle,1091209.573,number,Kilograms of nitrogen leached,
2017,Southland,Southland Region,Beef cattle,1129570.924,number,Kilograms of nitrogen leached,
1990,Southland,Southland Region,Dairy cattle,463844.4818,number,Kilograms of nitrogen leached,
1991,Southland,Southland Region,Dairy cattle,539784.7094,number,Kilograms of nitrogen leached,
1992,Southland,Southland Region,Dairy cattle,647923.3969,number,Kilograms of nitrogen leached,
1993,Southland,Southland Region,Dairy cattle,870782.9134,number,Kilograms of nitrogen leached,
1994,Southland,Southland Region,Dairy cattle,1404574.927,number,Kilograms of nitrogen leached,
1995,Southland,Southland Region,Dairy cattle,1544912.074,number,Kilograms of nitrogen leached,
1996,Southland,Southland Region,Dairy cattle,1689154.298,number,Kilograms of nitrogen leached,
1997,Southland,Southland Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
1998,Southland,Southland Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
1999,Southland,Southland Region,Dairy cattle,2860849.136,number,Kilograms of nitrogen leached,
2000,Southland,Southland Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
2001,Southland,Southland Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
2002,Southland,Southland Region,Dairy cattle,4374422.358,number,Kilograms of nitrogen leached,
2003,Southland,Southland Region,Dairy cattle,4270937.834,number,Kilograms of nitrogen leached,
2004,Southland,Southland Region,Dairy cattle,4286017.814,number,Kilograms of nitrogen leached,
2005,Southland,Southland Region,Dairy cattle,4274400.826,number,Kilograms of nitrogen leached,
2006,Southland,Southland Region,Dairy cattle,4616230.091,number,Kilograms of nitrogen leached,
2007,Southland,Southland Region,Dairy cattle,5312893.262,number,Kilograms of nitrogen leached,
2008,Southland,Southland Region,Dairy cattle,6090580.628,number,Kilograms of nitrogen leached,
2009,Southland,Southland Region,Dairy cattle,7235246.933,number,Kilograms of nitrogen leached,
2010,Southland,Southland Region,Dairy cattle,7358219.999,number,Kilograms of nitrogen leached,
2011,Southland,Southland Region,Dairy cattle,7547947.767,number,Kilograms of nitrogen leached,
2012,Southland,Southland Region,Dairy cattle,8234811.407,number,Kilograms of nitrogen leached,
2013,Southland,Southland Region,Dairy cattle,7557526.256,number,Kilograms of nitrogen leached,
2014,Southland,Southland Region,Dairy cattle,8596559.017,number,Kilograms of nitrogen leached,
2015,Southland,Southland Region,Dairy cattle,8979330.184,number,Kilograms of nitrogen leached,
2016,Southland,Southland Region,Dairy cattle,8705311.71,number,Kilograms of nitrogen leached,
2017,Southland,Southland Region,Dairy cattle,8362893,number,Kilograms of nitrogen leached,
1990,Southland,Southland Region,Deer,170859.9887,number,Kilograms of nitrogen leached,
1991,Southland,Southland Region,Deer,206575.6675,number,Kilograms of nitrogen leached,
1992,Southland,Southland Region,Deer,220306.753,number,Kilograms of nitrogen leached,
1993,Southland,Southland Region,Deer,222591.5991,number,Kilograms of nitrogen leached,
1994,Southland,Southland Region,Deer,253811.8674,number,Kilograms of nitrogen leached,
1995,Southland,Southland Region,Deer,256155.8635,number,Kilograms of nitrogen leached,
1996,Southland,Southland Region,Deer,262227.694,number,Kilograms of nitrogen leached,
1997,Southland,Southland Region,Deer,0,number,Kilograms of nitrogen leached,
1998,Southland,Southland Region,Deer,0,number,Kilograms of nitrogen leached,
1999,Southland,Southland Region,Deer,541115.0932,number,Kilograms of nitrogen leached,
2000,Southland,Southland Region,Deer,0,number,Kilograms of nitrogen leached,
2001,Southland,Southland Region,Deer,0,number,Kilograms of nitrogen leached,
2002,Southland,Southland Region,Deer,483597.7739,number,Kilograms of nitrogen leached,
2003,Southland,Southland Region,Deer,491012.175,number,Kilograms of nitrogen leached,
2004,Southland,Southland Region,Deer,537059.8698,number,Kilograms of nitrogen leached,
2005,Southland,Southland Region,Deer,510856.3586,number,Kilograms of nitrogen leached,
2006,Southland,Southland Region,Deer,478066.5482,number,Kilograms of nitrogen leached,
2007,Southland,Southland Region,Deer,423025.2813,number,Kilograms of nitrogen leached,
2008,Southland,Southland Region,Deer,371506.8865,number,Kilograms of nitrogen leached,
2009,Southland,Southland Region,Deer,333287.6437,number,Kilograms of nitrogen leached,
2010,Southland,Southland Region,Deer,338359.4242,number,Kilograms of nitrogen leached,
2011,Southland,Southland Region,Deer,335473.4477,number,Kilograms of nitrogen leached,
2012,Southland,Southland Region,Deer,327942.1219,number,Kilograms of nitrogen leached,
2013,Southland,Southland Region,Deer,304537.9254,number,Kilograms of nitrogen leached,
2014,Southland,Southland Region,Deer,306789.7574,number,Kilograms of nitrogen leached,
2015,Southland,Southland Region,Deer,272202.058,number,Kilograms of nitrogen leached,
2016,Southland,Southland Region,Deer,255396.5408,number,Kilograms of nitrogen leached,
2017,Southland,Southland Region,Deer,264772.5255,number,Kilograms of nitrogen leached,
1990,Southland,Southland Region,Sheep,6711811.865,number,Kilograms of nitrogen leached,
1991,Southland,Southland Region,Sheep,6352378.73,number,Kilograms of nitrogen leached,
1992,Southland,Southland Region,Sheep,6042256.128,number,Kilograms of nitrogen leached,
1993,Southland,Southland Region,Sheep,5866288.141,number,Kilograms of nitrogen leached,
1994,Southland,Southland Region,Sheep,5899432.85,number,Kilograms of nitrogen leached,
1995,Southland,Southland Region,Sheep,5776936.894,number,Kilograms of nitrogen leached,
1996,Southland,Southland Region,Sheep,5603816.13,number,Kilograms of nitrogen leached,
1997,Southland,Southland Region,Sheep,0,number,Kilograms of nitrogen leached,
1998,Southland,Southland Region,Sheep,0,number,Kilograms of nitrogen leached,
1999,Southland,Southland Region,Sheep,5063305.186,number,Kilograms of nitrogen leached,
2000,Southland,Southland Region,Sheep,0,number,Kilograms of nitrogen leached,
2001,Southland,Southland Region,Sheep,0,number,Kilograms of nitrogen leached,
2002,Southland,Southland Region,Sheep,4471587.816,number,Kilograms of nitrogen leached,
2003,Southland,Southland Region,Sheep,4399929.328,number,Kilograms of nitrogen leached,
2004,Southland,Southland Region,Sheep,4483807.805,number,Kilograms of nitrogen leached,
2005,Southland,Southland Region,Sheep,4471565.273,number,Kilograms of nitrogen leached,
2006,Southland,Southland Region,Sheep,4455134.19,number,Kilograms of nitrogen leached,
2007,Southland,Southland Region,Sheep,4254968.942,number,Kilograms of nitrogen leached,
2008,Southland,Southland Region,Sheep,3561097.216,number,Kilograms of nitrogen leached,
2009,Southland,Southland Region,Sheep,3423735.436,number,Kilograms of nitrogen leached,
2010,Southland,Southland Region,Sheep,3454641.592,number,Kilograms of nitrogen leached,
2011,Southland,Southland Region,Sheep,3090638.173,number,Kilograms of nitrogen leached,
2012,Southland,Southland Region,Sheep,3273612.627,number,Kilograms of nitrogen leached,
2013,Southland,Southland Region,Sheep,3299430.754,number,Kilograms of nitrogen leached,
2014,Southland,Southland Region,Sheep,3230620.239,number,Kilograms of nitrogen leached,
2015,Southland,Southland Region,Sheep,3060605.946,number,Kilograms of nitrogen leached,
2016,Southland,Southland Region,Sheep,2788973.828,number,Kilograms of nitrogen leached,
2017,Southland,Southland Region,Sheep,2996229.705,number,Kilograms of nitrogen leached,
1990,Taranaki,Taranaki Region,Beef cattle,1922913.551,number,Kilograms of nitrogen leached,
1991,Taranaki,Taranaki Region,Beef cattle,1920961.836,number,Kilograms of nitrogen leached,
1992,Taranaki,Taranaki Region,Beef cattle,1883041.224,number,Kilograms of nitrogen leached,
1993,Taranaki,Taranaki Region,Beef cattle,1767437.939,number,Kilograms of nitrogen leached,
1994,Taranaki,Taranaki Region,Beef cattle,1905226.822,number,Kilograms of nitrogen leached,
1995,Taranaki,Taranaki Region,Beef cattle,1855342.307,number,Kilograms of nitrogen leached,
1996,Taranaki,Taranaki Region,Beef cattle,1563059.182,number,Kilograms of nitrogen leached,
1997,Taranaki,Taranaki Region,Beef cattle,0,number,Kilograms of nitrogen leached,
1998,Taranaki,Taranaki Region,Beef cattle,0,number,Kilograms of nitrogen leached,
1999,Taranaki,Taranaki Region,Beef cattle,1355901.712,number,Kilograms of nitrogen leached,
2000,Taranaki,Taranaki Region,Beef cattle,0,number,Kilograms of nitrogen leached,
2001,Taranaki,Taranaki Region,Beef cattle,0,number,Kilograms of nitrogen leached,
2002,Taranaki,Taranaki Region,Beef cattle,1402786.982,number,Kilograms of nitrogen leached,
2003,Taranaki,Taranaki Region,Beef cattle,1336252.241,number,Kilograms of nitrogen leached,
2004,Taranaki,Taranaki Region,Beef cattle,1355802.472,number,Kilograms of nitrogen leached,
2005,Taranaki,Taranaki Region,Beef cattle,1443773,number,Kilograms of nitrogen leached,
2006,Taranaki,Taranaki Region,Beef cattle,1426494.256,number,Kilograms of nitrogen leached,
2007,Taranaki,Taranaki Region,Beef cattle,1507506.974,number,Kilograms of nitrogen leached,
2008,Taranaki,Taranaki Region,Beef cattle,1456530.821,number,Kilograms of nitrogen leached,
2009,Taranaki,Taranaki Region,Beef cattle,1393061.486,number,Kilograms of nitrogen leached,
2010,Taranaki,Taranaki Region,Beef cattle,1474118.311,number,Kilograms of nitrogen leached,
2011,Taranaki,Taranaki Region,Beef cattle,1308112.258,number,Kilograms of nitrogen leached,
2012,Taranaki,Taranaki Region,Beef cattle,1141764.379,number,Kilograms of nitrogen leached,
2013,Taranaki,Taranaki Region,Beef cattle,1306943.434,number,Kilograms of nitrogen leached,
2014,Taranaki,Taranaki Region,Beef cattle,1430982.098,number,Kilograms of nitrogen leached,
2015,Taranaki,Taranaki Region,Beef cattle,1414431.113,number,Kilograms of nitrogen leached,
2016,Taranaki,Taranaki Region,Beef cattle,1175649.242,number,Kilograms of nitrogen leached,
2017,Taranaki,Taranaki Region,Beef cattle,1300636.197,number,Kilograms of nitrogen leached,
1990,Taranaki,Taranaki Region,Dairy cattle,11653273.24,number,Kilograms of nitrogen leached,
1991,Taranaki,Taranaki Region,Dairy cattle,11612588.24,number,Kilograms of nitrogen leached,
1992,Taranaki,Taranaki Region,Dairy cattle,11841839.75,number,Kilograms of nitrogen leached,
1993,Taranaki,Taranaki Region,Dairy cattle,11632185.75,number,Kilograms of nitrogen leached,
1994,Taranaki,Taranaki Region,Dairy cattle,12397605.99,number,Kilograms of nitrogen leached,
1995,Taranaki,Taranaki Region,Dairy cattle,12800317.15,number,Kilograms of nitrogen leached,
1996,Taranaki,Taranaki Region,Dairy cattle,12700032.55,number,Kilograms of nitrogen leached,
1997,Taranaki,Taranaki Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
1998,Taranaki,Taranaki Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
1999,Taranaki,Taranaki Region,Dairy cattle,12588655.8,number,Kilograms of nitrogen leached,
2000,Taranaki,Taranaki Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
2001,Taranaki,Taranaki Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
2002,Taranaki,Taranaki Region,Dairy cattle,13486478.2,number,Kilograms of nitrogen leached,
2003,Taranaki,Taranaki Region,Dairy cattle,12902050.35,number,Kilograms of nitrogen leached,
2004,Taranaki,Taranaki Region,Dairy cattle,13760098.3,number,Kilograms of nitrogen leached,
2005,Taranaki,Taranaki Region,Dairy cattle,12739248.26,number,Kilograms of nitrogen leached,
2006,Taranaki,Taranaki Region,Dairy cattle,12388997.16,number,Kilograms of nitrogen leached,
2007,Taranaki,Taranaki Region,Dairy cattle,12200803.15,number,Kilograms of nitrogen leached,
2008,Taranaki,Taranaki Region,Dairy cattle,11826898.46,number,Kilograms of nitrogen leached,
2009,Taranaki,Taranaki Region,Dairy cattle,12570465.51,number,Kilograms of nitrogen leached,
2010,Taranaki,Taranaki Region,Dairy cattle,13366264.99,number,Kilograms of nitrogen leached,
2011,Taranaki,Taranaki Region,Dairy cattle,12940458.98,number,Kilograms of nitrogen leached,
2012,Taranaki,Taranaki Region,Dairy cattle,12507285.8,number,Kilograms of nitrogen leached,
2013,Taranaki,Taranaki Region,Dairy cattle,12313400.86,number,Kilograms of nitrogen leached,
2014,Taranaki,Taranaki Region,Dairy cattle,12125786.3,number,Kilograms of nitrogen leached,
2015,Taranaki,Taranaki Region,Dairy cattle,11214885.1,number,Kilograms of nitrogen leached,
2016,Taranaki,Taranaki Region,Dairy cattle,11496348.33,number,Kilograms of nitrogen leached,
2017,Taranaki,Taranaki Region,Dairy cattle,12227147,number,Kilograms of nitrogen leached,
1990,Taranaki,Taranaki Region,Deer,46793.60006,number,Kilograms of nitrogen leached,
1991,Taranaki,Taranaki Region,Deer,47388.67925,number,Kilograms of nitrogen leached,
1992,Taranaki,Taranaki Region,Deer,52790.70156,number,Kilograms of nitrogen leached,
1993,Taranaki,Taranaki Region,Deer,47150.18448,number,Kilograms of nitrogen leached,
1994,Taranaki,Taranaki Region,Deer,44049.75247,number,Kilograms of nitrogen leached,
1995,Taranaki,Taranaki Region,Deer,36665.67653,number,Kilograms of nitrogen leached,
1996,Taranaki,Taranaki Region,Deer,30129.06745,number,Kilograms of nitrogen leached,
1997,Taranaki,Taranaki Region,Deer,0,number,Kilograms of nitrogen leached,
1998,Taranaki,Taranaki Region,Deer,0,number,Kilograms of nitrogen leached,
1999,Taranaki,Taranaki Region,Deer,33405.47618,number,Kilograms of nitrogen leached,
2000,Taranaki,Taranaki Region,Deer,0,number,Kilograms of nitrogen leached,
2001,Taranaki,Taranaki Region,Deer,0,number,Kilograms of nitrogen leached,
2002,Taranaki,Taranaki Region,Deer,24919.23024,number,Kilograms of nitrogen leached,
2003,Taranaki,Taranaki Region,Deer,20973.64686,number,Kilograms of nitrogen leached,
2004,Taranaki,Taranaki Region,Deer,15483.63618,number,Kilograms of nitrogen leached,
2005,Taranaki,Taranaki Region,Deer,11049.48585,number,Kilograms of nitrogen leached,
2006,Taranaki,Taranaki Region,Deer,10683.6395,number,Kilograms of nitrogen leached,
2007,Taranaki,Taranaki Region,Deer,10317.79316,number,Kilograms of nitrogen leached,
2008,Taranaki,Taranaki Region,Deer,8159.76281,number,Kilograms of nitrogen leached,
2009,Taranaki,Taranaki Region,Deer,9947.315843,number,Kilograms of nitrogen leached,
2010,Taranaki,Taranaki Region,Deer,10345.57895,number,Kilograms of nitrogen leached,
2011,Taranaki,Taranaki Region,Deer,12478.13898,number,Kilograms of nitrogen leached,
2012,Taranaki,Taranaki Region,Deer,8696.954913,number,Kilograms of nitrogen leached,
2013,Taranaki,Taranaki Region,Deer,13960.04823,number,Kilograms of nitrogen leached,
2014,Taranaki,Taranaki Region,Deer,12049.77459,number,Kilograms of nitrogen leached,
2015,Taranaki,Taranaki Region,Deer,7666.564887,number,Kilograms of nitrogen leached,
2016,Taranaki,Taranaki Region,Deer,8757.157476,number,Kilograms of nitrogen leached,
2017,Taranaki,Taranaki Region,Deer,9259.617332,number,Kilograms of nitrogen leached,
1990,Taranaki,Taranaki Region,Sheep,1834337.796,number,Kilograms of nitrogen leached,
1991,Taranaki,Taranaki Region,Sheep,1701289.822,number,Kilograms of nitrogen leached,
1992,Taranaki,Taranaki Region,Sheep,1590767.282,number,Kilograms of nitrogen leached,
1993,Taranaki,Taranaki Region,Sheep,1380877.553,number,Kilograms of nitrogen leached,
1994,Taranaki,Taranaki Region,Sheep,1289390.066,number,Kilograms of nitrogen leached,
1995,Taranaki,Taranaki Region,Sheep,1209688.786,number,Kilograms of nitrogen leached,
1996,Taranaki,Taranaki Region,Sheep,1143351.522,number,Kilograms of nitrogen leached,
1997,Taranaki,Taranaki Region,Sheep,0,number,Kilograms of nitrogen leached,
1998,Taranaki,Taranaki Region,Sheep,0,number,Kilograms of nitrogen leached,
1999,Taranaki,Taranaki Region,Sheep,1089419.318,number,Kilograms of nitrogen leached,
2000,Taranaki,Taranaki Region,Sheep,0,number,Kilograms of nitrogen leached,
2001,Taranaki,Taranaki Region,Sheep,0,number,Kilograms of nitrogen leached,
2002,Taranaki,Taranaki Region,Sheep,930462.2255,number,Kilograms of nitrogen leached,
2003,Taranaki,Taranaki Region,Sheep,886435.6643,number,Kilograms of nitrogen leached,
2004,Taranaki,Taranaki Region,Sheep,916855.4706,number,Kilograms of nitrogen leached,
2005,Taranaki,Taranaki Region,Sheep,905205.3036,number,Kilograms of nitrogen leached,
2006,Taranaki,Taranaki Region,Sheep,917973.1398,number,Kilograms of nitrogen leached,
2007,Taranaki,Taranaki Region,Sheep,875121.5983,number,Kilograms of nitrogen leached,
2008,Taranaki,Taranaki Region,Sheep,850122.0871,number,Kilograms of nitrogen leached,
2009,Taranaki,Taranaki Region,Sheep,717348.8619,number,Kilograms of nitrogen leached,
2010,Taranaki,Taranaki Region,Sheep,778189.8083,number,Kilograms of nitrogen leached,
2011,Taranaki,Taranaki Region,Sheep,742865.8618,number,Kilograms of nitrogen leached,
2012,Taranaki,Taranaki Region,Sheep,579376.7413,number,Kilograms of nitrogen leached,
2013,Taranaki,Taranaki Region,Sheep,716688.6635,number,Kilograms of nitrogen leached,
2014,Taranaki,Taranaki Region,Sheep,669874.5982,number,Kilograms of nitrogen leached,
2015,Taranaki,Taranaki Region,Sheep,666653.6304,number,Kilograms of nitrogen leached,
2016,Taranaki,Taranaki Region,Sheep,579284.7136,number,Kilograms of nitrogen leached,
2017,Taranaki,Taranaki Region,Sheep,663539.3614,number,Kilograms of nitrogen leached,
1990,Tasman,Tasman Region,Beef cattle,701337.1383,number,Kilograms of nitrogen leached,
1991,Tasman,Tasman Region,Beef cattle,701337.1383,number,Kilograms of nitrogen leached,
1992,Tasman,Tasman Region,Beef cattle,701337.1383,number,Kilograms of nitrogen leached,
1993,Tasman,Tasman Region,Beef cattle,701337.1383,number,Kilograms of nitrogen leached,
1994,Tasman,Tasman Region,Beef cattle,792081.21,number,Kilograms of nitrogen leached,
1995,Tasman,Tasman Region,Beef cattle,797525.3627,number,Kilograms of nitrogen leached,
1996,Tasman,Tasman Region,Beef cattle,742665.9997,number,Kilograms of nitrogen leached,
1997,Tasman,Tasman Region,Beef cattle,0,number,Kilograms of nitrogen leached,
1998,Tasman,Tasman Region,Beef cattle,0,number,Kilograms of nitrogen leached,
1999,Tasman,Tasman Region,Beef cattle,704446.3271,number,Kilograms of nitrogen leached,
2000,Tasman,Tasman Region,Beef cattle,0,number,Kilograms of nitrogen leached,
2001,Tasman,Tasman Region,Beef cattle,0,number,Kilograms of nitrogen leached,
2002,Tasman,Tasman Region,Beef cattle,602568.1642,number,Kilograms of nitrogen leached,
2003,Tasman,Tasman Region,Beef cattle,690104.7328,number,Kilograms of nitrogen leached,
2004,Tasman,Tasman Region,Beef cattle,568047.566,number,Kilograms of nitrogen leached,
2005,Tasman,Tasman Region,Beef cattle,555745.9929,number,Kilograms of nitrogen leached,
2006,Tasman,Tasman Region,Beef cattle,562345.3383,number,Kilograms of nitrogen leached,
2007,Tasman,Tasman Region,Beef cattle,632013.2882,number,Kilograms of nitrogen leached,
2008,Tasman,Tasman Region,Beef cattle,612854.2948,number,Kilograms of nitrogen leached,
2009,Tasman,Tasman Region,Beef cattle,731740.8264,number,Kilograms of nitrogen leached,
2010,Tasman,Tasman Region,Beef cattle,611797.4164,number,Kilograms of nitrogen leached,
2011,Tasman,Tasman Region,Beef cattle,569669.7514,number,Kilograms of nitrogen leached,
2012,Tasman,Tasman Region,Beef cattle,493402.456,number,Kilograms of nitrogen leached,
2013,Tasman,Tasman Region,Beef cattle,519443.4485,number,Kilograms of nitrogen leached,
2014,Tasman,Tasman Region,Beef cattle,476676.7408,number,Kilograms of nitrogen leached,
2015,Tasman,Tasman Region,Beef cattle,510386.2463,number,Kilograms of nitrogen leached,
2016,Tasman,Tasman Region,Beef cattle,450303.9377,number,Kilograms of nitrogen leached,
2017,Tasman,Tasman Region,Beef cattle,489174.9424,number,Kilograms of nitrogen leached,
1990,Tasman,Tasman Region,Dairy cattle,1297212.479,number,Kilograms of nitrogen leached,
2015,Tasman,Tasman Region,Sheep,523081.0249,number,Kilograms of nitrogen leached,
1991,Tasman,Tasman Region,Dairy cattle,1297212.479,number,Kilograms of nitrogen leached,
1992,Tasman,Tasman Region,Dairy cattle,1297212.479,number,Kilograms of nitrogen leached,
1993,Tasman,Tasman Region,Dairy cattle,1297212.479,number,Kilograms of nitrogen leached,
1994,Tasman,Tasman Region,Dairy cattle,1368785.707,number,Kilograms of nitrogen leached,
1995,Tasman,Tasman Region,Dairy cattle,1462776.105,number,Kilograms of nitrogen leached,
1996,Tasman,Tasman Region,Dairy cattle,1517397.046,number,Kilograms of nitrogen leached,
1997,Tasman,Tasman Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
1998,Tasman,Tasman Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
1999,Tasman,Tasman Region,Dairy cattle,2069294.387,number,Kilograms of nitrogen leached,
2000,Tasman,Tasman Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
2001,Tasman,Tasman Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
2002,Tasman,Tasman Region,Dairy cattle,1881285.709,number,Kilograms of nitrogen leached,
2003,Tasman,Tasman Region,Dairy cattle,1985369.41,number,Kilograms of nitrogen leached,
2004,Tasman,Tasman Region,Dairy cattle,1975387.635,number,Kilograms of nitrogen leached,
2005,Tasman,Tasman Region,Dairy cattle,1883014.396,number,Kilograms of nitrogen leached,
2006,Tasman,Tasman Region,Dairy cattle,1840048.154,number,Kilograms of nitrogen leached,
2007,Tasman,Tasman Region,Dairy cattle,1780241.152,number,Kilograms of nitrogen leached,
2008,Tasman,Tasman Region,Dairy cattle,1970954.389,number,Kilograms of nitrogen leached,
2009,Tasman,Tasman Region,Dairy cattle,2412661.86,number,Kilograms of nitrogen leached,
2010,Tasman,Tasman Region,Dairy cattle,1982079.328,number,Kilograms of nitrogen leached,
2011,Tasman,Tasman Region,Dairy cattle,2029897.047,number,Kilograms of nitrogen leached,
2012,Tasman,Tasman Region,Dairy cattle,2006280.949,number,Kilograms of nitrogen leached,
2013,Tasman,Tasman Region,Dairy cattle,2126926.589,number,Kilograms of nitrogen leached,
2014,Tasman,Tasman Region,Dairy cattle,2174019.375,number,Kilograms of nitrogen leached,
2015,Tasman,Tasman Region,Dairy cattle,2170980.231,number,Kilograms of nitrogen leached,
2016,Tasman,Tasman Region,Dairy cattle,1700247.544,number,Kilograms of nitrogen leached,
2017,Tasman,Tasman Region,Dairy cattle,1843394,number,Kilograms of nitrogen leached,
1990,Tasman,Tasman Region,Deer,83974.09044,number,Kilograms of nitrogen leached,
1991,Tasman,Tasman Region,Deer,83974.09044,number,Kilograms of nitrogen leached,
1992,Tasman,Tasman Region,Deer,83974.09044,number,Kilograms of nitrogen leached,
1993,Tasman,Tasman Region,Deer,83974.09044,number,Kilograms of nitrogen leached,
1994,Tasman,Tasman Region,Deer,101358.7764,number,Kilograms of nitrogen leached,
1995,Tasman,Tasman Region,Deer,94687.38194,number,Kilograms of nitrogen leached,
1996,Tasman,Tasman Region,Deer,95641.247,number,Kilograms of nitrogen leached,
1997,Tasman,Tasman Region,Deer,0,number,Kilograms of nitrogen leached,
1998,Tasman,Tasman Region,Deer,0,number,Kilograms of nitrogen leached,
1999,Tasman,Tasman Region,Deer,99708.61817,number,Kilograms of nitrogen leached,
2000,Tasman,Tasman Region,Deer,0,number,Kilograms of nitrogen leached,
2001,Tasman,Tasman Region,Deer,0,number,Kilograms of nitrogen leached,
2002,Tasman,Tasman Region,Deer,91098.35853,number,Kilograms of nitrogen leached,
2003,Tasman,Tasman Region,Deer,95027.03715,number,Kilograms of nitrogen leached,
2004,Tasman,Tasman Region,Deer,89247.23762,number,Kilograms of nitrogen leached,
2005,Tasman,Tasman Region,Deer,89861.44746,number,Kilograms of nitrogen leached,
2006,Tasman,Tasman Region,Deer,71554.03149,number,Kilograms of nitrogen leached,
2007,Tasman,Tasman Region,Deer,58398.05292,number,Kilograms of nitrogen leached,
2008,Tasman,Tasman Region,Deer,54647.69327,number,Kilograms of nitrogen leached,
2009,Tasman,Tasman Region,Deer,36906.36933,number,Kilograms of nitrogen leached,
2010,Tasman,Tasman Region,Deer,43085.26374,number,Kilograms of nitrogen leached,
2011,Tasman,Tasman Region,Deer,38695.22011,number,Kilograms of nitrogen leached,
2012,Tasman,Tasman Region,Deer,43985.35005,number,Kilograms of nitrogen leached,
2013,Tasman,Tasman Region,Deer,40359.53066,number,Kilograms of nitrogen leached,
