Region,Region Code,Year,Measure,Age,Value,Value Unit,Value Label,Null Reason
Auckland,Auckland Region,2013,Age in five-year groups for the census usually resident population count,30-34,98541,number,Number of people,
Auckland,Auckland Region,2013,Age in five-year groups for the census usually resident population count,35-39,95538,number,Number of people,
Auckland,Auckland Region,2013,Age in five-year groups for the census usually resident population count,40-44,106218,number,Number of people,
Auckland,Auckland Region,2013,Age in five-year groups for the census usually resident population count,45-49,102381,number,Number of people,
Auckland,Auckland Region,2013,Age in five-year groups for the census usually resident population count,50-54,95112,number,Number of people,
Auckland,Auckland Region,2013,Age in five-year groups for the census usually resident population count,55-59,78960,number,Number of people,
Auckland,Auckland Region,2013,Age in five-year groups for the census usually resident population count,60-64,68208,number,Number of people,
Auckland,Auckland Region,2013,Age in five-year groups for the census usually resident population count,65-*,163155,number,Number of people,
Auckland,Auckland Region,2013,Age in five-year groups for the census usually resident population count,Total people,1415550,number,Number of people,
Auckland,Auckland Region,2001,Age in broad groups for the census usually resident population count,*-14,266202,number,Number of people,
Auckland,Auckland Region,2001,Age in broad groups for the census usually resident population count,15-64,778224,number,Number of people,
Auckland,Auckland Region,2001,Age in broad groups for the census usually resident population count,65-*,115848,number,Number of people,
Auckland,Auckland Region,2001,Age in broad groups for the census usually resident population count,Total people,1160271,number,Number of people,
Auckland,Auckland Region,2006,Age in broad groups for the census usually resident population count,*-14,289110,number,Number of people,
Auckland,Auckland Region,2006,Age in broad groups for the census usually resident population count,15-64,887304,number,Number of people,
Auckland,Auckland Region,2006,Age in broad groups for the census usually resident population count,65-*,128544,number,Number of people,
Auckland,Auckland Region,2006,Age in broad groups for the census usually resident population count,Total people,1304961,number,Number of people,
Auckland,Auckland Region,2013,Age in broad groups for the census usually resident population count,*-14,296355,number,Number of people,
Auckland,Auckland Region,2013,Age in broad groups for the census usually resident population count,15-64,956040,number,Number of people,
Auckland,Auckland Region,2013,Age in broad groups for the census usually resident population count,65-*,163155,number,Number of people,
Auckland,Auckland Region,2013,Age in broad groups for the census usually resident population count,Total people,1415550,number,Number of people,
Waikato,Waikato Region,2001,Age in five-year groups for the census usually resident population count,0-4,27498,number,Number of people,
Waikato,Waikato Region,2001,Age in five-year groups for the census usually resident population count,5-9,29445,number,Number of people,
Waikato,Waikato Region,2001,Age in five-year groups for the census usually resident population count,10-14,29733,number,Number of people,
Waikato,Waikato Region,2001,Age in five-year groups for the census usually resident population count,15-19,26535,number,Number of people,
Waikato,Waikato Region,2001,Age in five-year groups for the census usually resident population count,20-24,22347,number,Number of people,
Waikato,Waikato Region,2001,Age in five-year groups for the census usually resident population count,25-29,22458,number,Number of people,
Waikato,Waikato Region,2001,Age in five-year groups for the census usually resident population count,30-34,25401,number,Number of people,
Waikato,Waikato Region,2001,Age in five-year groups for the census usually resident population count,35-39,27015,number,Number of people,
Waikato,Waikato Region,2001,Age in five-year groups for the census usually resident population count,40-44,26637,number,Number of people,
Waikato,Waikato Region,2001,Age in five-year groups for the census usually resident population count,45-49,23607,number,Number of people,
Waikato,Waikato Region,2001,Age in five-year groups for the census usually resident population count,50-54,21936,number,Number of people,
Waikato,Waikato Region,2001,Age in five-year groups for the census usually resident population count,55-59,17259,number,Number of people,
Waikato,Waikato Region,2001,Age in five-year groups for the census usually resident population count,60-64,14769,number,Number of people,
Waikato,Waikato Region,2001,Age in five-year groups for the census usually resident population count,65-*,41703,number,Number of people,
Waikato,Waikato Region,2001,Age in five-year groups for the census usually resident population count,Total people,356346,number,Number of people,
Waikato,Waikato Region,2006,Age in five-year groups for the census usually resident population count,0-4,27495,number,Number of people,
